well,row,column,sample_type,compound,concentration_uM,cell_viability_percent
A01,A,1,negative_control,vehicle,0,93.9
A02,A,2,negative_control,vehicle,0,95.0
A03,A,3,treatment,CompoundA,0.01,84.8
A04,A,4,treatment,CompoundA,0.1,70.9
A05,A,5,treatment,CompoundA,1,46.0
A06,A,6,treatment,CompoundA,10,14.8
A07,A,7,treatment,CompoundB,0.01,88.9
A08,A,8,treatment,CompoundB,0.1,82.0
A09,A,9,treatment,CompoundB,1,62.8
A10,A,10,treatment,CompoundB,10,38.9
A11,A,11,positive_control,qc_control,10,23.0
A12,A,12,positive_control,qc_control,10,20.8
B01,B,1,negative_control,vehicle,0,94.5
B02,B,2,negative_control,vehicle,0,99.6
B03,B,3,treatment,CompoundA,0.01,92.4
B04,B,4,treatment,CompoundA,0.1,78.5
B05,B,5,treatment,CompoundA,1,53.6
B06,B,6,treatment,CompoundA,10,22.4
B07,B,7,treatment,CompoundB,0.01,96.5
B08,B,8,treatment,CompoundB,0.1,89.6
B09,B,9,treatment,CompoundB,1,70.4
B10,B,10,treatment,CompoundB,10,46.5
B11,B,11,positive_control,qc_control,10,27.6
B12,B,12,positive_control,qc_control,10,21.4
C01,C,1,negative_control,vehicle,0,95.1
C02,C,2,negative_control,vehicle,0,100.2
C03,C,3,treatment,CompoundA,0.01,93.0
C04,C,4,treatment,CompoundA,0.1,79.1
C05,C,5,treatment,CompoundA,1,54.2
C06,C,6,treatment,CompoundA,10,23.0
C07,C,7,treatment,CompoundB,0.01,97.1
C08,C,8,treatment,CompoundB,0.1,90.2
C09,C,9,treatment,CompoundB,1,71.0
C10,C,10,treatment,CompoundB,10,47.1
C11,C,11,positive_control,qc_control,10,28.2
C12,C,12,positive_control,qc_control,10,22.0
D01,D,1,negative_control,vehicle,0,95.7
D02,D,2,negative_control,vehicle,0,100.8
D03,D,3,treatment,CompoundA,0.01,93.6
D04,D,4,treatment,CompoundA,0.1,79.7
D05,D,5,treatment,CompoundA,1,54.8
D06,D,6,treatment,CompoundA,10,23.6
D07,D,7,treatment,CompoundB,0.01,97.7
D08,D,8,treatment,CompoundB,0.1,90.8
D09,D,9,treatment,CompoundB,1,71.6
D10,D,10,treatment,CompoundB,10,47.7
D11,D,11,positive_control,qc_control,10,28.8
D12,D,12,positive_control,qc_control,10,22.6
E01,E,1,negative_control,vehicle,0,96.3
E02,E,2,negative_control,vehicle,0,101.4
E03,E,3,treatment,CompoundA,0.01,94.2
E04,E,4,treatment,CompoundA,0.1,80.3
E05,E,5,treatment,CompoundA,1,55.4
E06,E,6,treatment,CompoundA,10,24.2
E07,E,7,treatment,CompoundB,0.01,98.3
E08,E,8,treatment,CompoundB,0.1,91.4
E09,E,9,treatment,CompoundB,1,72.2
E10,E,10,treatment,CompoundB,10,48.3
E11,E,11,positive_control,qc_control,10,29.4
E12,E,12,positive_control,qc_control,10,23.2
F01,F,1,negative_control,vehicle,0,96.9
F02,F,2,negative_control,vehicle,0,102.0
F03,F,3,treatment,CompoundA,0.01,94.8
F04,F,4,treatment,CompoundA,0.1,80.9
F05,F,5,treatment,CompoundA,1,56.0
F06,F,6,treatment,CompoundA,10,24.8
F07,F,7,treatment,CompoundB,0.01,98.9
F08,F,8,treatment,CompoundB,0.1,92.0
F09,F,9,treatment,CompoundB,1,72.8
F10,F,10,treatment,CompoundB,10,48.9
F11,F,11,positive_control,qc_control,10,30.0
F12,F,12,positive_control,qc_control,10,23.8
G01,G,1,negative_control,vehicle,0,97.5
G02,G,2,negative_control,vehicle,0,102.6
G03,G,3,treatment,CompoundA,0.01,95.4
G04,G,4,treatment,CompoundA,0.1,81.5
G05,G,5,treatment,CompoundA,1,56.6
G06,G,6,treatment,CompoundA,10,25.4
G07,G,7,treatment,CompoundB,0.01,99.5
G08,G,8,treatment,CompoundB,0.1,92.6
G09,G,9,treatment,CompoundB,1,73.4
G10,G,10,treatment,CompoundB,10,49.5
G11,G,11,positive_control,qc_control,10,30.6
G12,G,12,positive_control,qc_control,10,24.4
H01,H,1,negative_control,vehicle,0,98.1
H02,H,2,negative_control,vehicle,0,99.2
H03,H,3,treatment,CompoundA,0.01,89.0
H04,H,4,treatment,CompoundA,0.1,75.1
H05,H,5,treatment,CompoundA,1,50.2
H06,H,6,treatment,CompoundA,10,19.0
H07,H,7,treatment,CompoundB,0.01,93.1
H08,H,8,treatment,CompoundB,0.1,86.2
H09,H,9,treatment,CompoundB,1,67.0
H10,H,10,treatment,CompoundB,10,43.1
H11,H,11,positive_control,qc_control,10,27.2
H12,H,12,positive_control,qc_control,10,25.0
