assay_day,compound,concentration_uM,replicate,cell_viability_percent,role_context,academic_connection
Day_1,CompoundA,0.0,1,98.8,assay development day-to-day robustness check,dose-response interpretation with batch awareness
Day_1,CompoundA,0.0,2,100.0,assay development day-to-day robustness check,dose-response interpretation with batch awareness
Day_1,CompoundA,0.0,3,101.2,assay development day-to-day robustness check,dose-response interpretation with batch awareness
Day_1,CompoundA,0.1,1,90.8,assay development day-to-day robustness check,dose-response interpretation with batch awareness
Day_1,CompoundA,0.1,2,92.0,assay development day-to-day robustness check,dose-response interpretation with batch awareness
Day_1,CompoundA,0.1,3,93.2,assay development day-to-day robustness check,dose-response interpretation with batch awareness
Day_1,CompoundA,1.0,1,66.8,assay development day-to-day robustness check,dose-response interpretation with batch awareness
Day_1,CompoundA,1.0,2,68.0,assay development day-to-day robustness check,dose-response interpretation with batch awareness
Day_1,CompoundA,1.0,3,69.2,assay development day-to-day robustness check,dose-response interpretation with batch awareness
Day_1,CompoundA,10.0,1,26.8,assay development day-to-day robustness check,dose-response interpretation with batch awareness
Day_1,CompoundA,10.0,2,28.0,assay development day-to-day robustness check,dose-response interpretation with batch awareness
Day_1,CompoundA,10.0,3,29.2,assay development day-to-day robustness check,dose-response interpretation with batch awareness
Day_1,CompoundB,0.0,1,98.8,assay development day-to-day robustness check,dose-response interpretation with batch awareness
Day_1,CompoundB,0.0,2,100.0,assay development day-to-day robustness check,dose-response interpretation with batch awareness
Day_1,CompoundB,0.0,3,101.2,assay development day-to-day robustness check,dose-response interpretation with batch awareness
Day_1,CompoundB,0.1,1,93.8,assay development day-to-day robustness check,dose-response interpretation with batch awareness
Day_1,CompoundB,0.1,2,95.0,assay development day-to-day robustness check,dose-response interpretation with batch awareness
Day_1,CompoundB,0.1,3,96.2,assay development day-to-day robustness check,dose-response interpretation with batch awareness
Day_1,CompoundB,1.0,1,78.8,assay development day-to-day robustness check,dose-response interpretation with batch awareness
Day_1,CompoundB,1.0,2,80.0,assay development day-to-day robustness check,dose-response interpretation with batch awareness
Day_1,CompoundB,1.0,3,81.2,assay development day-to-day robustness check,dose-response interpretation with batch awareness
Day_1,CompoundB,10.0,1,53.8,assay development day-to-day robustness check,dose-response interpretation with batch awareness
Day_1,CompoundB,10.0,2,55.0,assay development day-to-day robustness check,dose-response interpretation with batch awareness
Day_1,CompoundB,10.0,3,56.2,assay development day-to-day robustness check,dose-response interpretation with batch awareness
Day_2,CompoundA,0.0,1,96.8,assay development day-to-day robustness check,dose-response interpretation with batch awareness
Day_2,CompoundA,0.0,2,98.0,assay development day-to-day robustness check,dose-response interpretation with batch awareness
Day_2,CompoundA,0.0,3,99.2,assay development day-to-day robustness check,dose-response interpretation with batch awareness
Day_2,CompoundA,0.1,1,88.8,assay development day-to-day robustness check,dose-response interpretation with batch awareness
Day_2,CompoundA,0.1,2,90.0,assay development day-to-day robustness check,dose-response interpretation with batch awareness
Day_2,CompoundA,0.1,3,91.2,assay development day-to-day robustness check,dose-response interpretation with batch awareness
Day_2,CompoundA,1.0,1,64.8,assay development day-to-day robustness check,dose-response interpretation with batch awareness
Day_2,CompoundA,1.0,2,66.0,assay development day-to-day robustness check,dose-response interpretation with batch awareness
Day_2,CompoundA,1.0,3,67.2,assay development day-to-day robustness check,dose-response interpretation with batch awareness
Day_2,CompoundA,10.0,1,24.8,assay development day-to-day robustness check,dose-response interpretation with batch awareness
Day_2,CompoundA,10.0,2,26.0,assay development day-to-day robustness check,dose-response interpretation with batch awareness
Day_2,CompoundA,10.0,3,27.2,assay development day-to-day robustness check,dose-response interpretation with batch awareness
Day_2,CompoundB,0.0,1,98.8,assay development day-to-day robustness check,dose-response interpretation with batch awareness
Day_2,CompoundB,0.0,2,100.0,assay development day-to-day robustness check,dose-response interpretation with batch awareness
Day_2,CompoundB,0.0,3,101.2,assay development day-to-day robustness check,dose-response interpretation with batch awareness
Day_2,CompoundB,0.1,1,93.8,assay development day-to-day robustness check,dose-response interpretation with batch awareness
Day_2,CompoundB,0.1,2,95.0,assay development day-to-day robustness check,dose-response interpretation with batch awareness
Day_2,CompoundB,0.1,3,96.2,assay development day-to-day robustness check,dose-response interpretation with batch awareness
Day_2,CompoundB,1.0,1,88.8,assay development day-to-day robustness check,dose-response interpretation with batch awareness
Day_2,CompoundB,1.0,2,90.0,assay development day-to-day robustness check,dose-response interpretation with batch awareness
Day_2,CompoundB,1.0,3,91.2,assay development day-to-day robustness check,dose-response interpretation with batch awareness
Day_2,CompoundB,10.0,1,63.8,assay development day-to-day robustness check,dose-response interpretation with batch awareness
Day_2,CompoundB,10.0,2,65.0,assay development day-to-day robustness check,dose-response interpretation with batch awareness
Day_2,CompoundB,10.0,3,66.2,assay development day-to-day robustness check,dose-response interpretation with batch awareness
