batch_id,row,column,well_id,sample_type,plate_region,cell_viability_percent,expected_low,expected_high,role_context
Batch_A,A,1,A01,control_low,edge,10.6,5,25,QC analyst plate-batch review
Batch_A,A,2,A02,control_high,edge,94.0,85,105,QC analyst plate-batch review
Batch_A,A,3,A03,control_high,edge,95.4,85,105,QC analyst plate-batch review
Batch_A,A,4,A04,control_high,edge,96.8,85,105,QC analyst plate-batch review
Batch_A,A,5,A05,control_high,edge,91.2,85,105,QC analyst plate-batch review
Batch_A,A,6,A06,control_high,edge,92.6,85,105,QC analyst plate-batch review
Batch_A,A,7,A07,control_high,edge,94.0,85,105,QC analyst plate-batch review
Batch_A,A,8,A08,control_high,edge,95.4,85,105,QC analyst plate-batch review
Batch_A,A,9,A09,control_high,edge,96.8,85,105,QC analyst plate-batch review
Batch_A,A,10,A10,control_high,edge,91.2,85,105,QC analyst plate-batch review
Batch_A,A,11,A11,control_high,edge,92.6,85,105,QC analyst plate-batch review
Batch_A,A,12,A12,control_low,edge,12.0,5,25,QC analyst plate-batch review
Batch_A,B,1,B01,control_low,edge,12.0,5,25,QC analyst plate-batch review
Batch_A,B,2,B02,sample,interior,73.4,60,95,QC analyst plate-batch review
Batch_A,B,3,B03,sample,interior,71.8,60,95,QC analyst plate-batch review
Batch_A,B,4,B04,sample,interior,75.2,60,95,QC analyst plate-batch review
Batch_A,B,5,B05,sample,interior,73.6,60,95,QC analyst plate-batch review
Batch_A,B,6,B06,sample,interior,72.0,60,95,QC analyst plate-batch review
Batch_A,B,7,B07,sample,interior,70.4,60,95,QC analyst plate-batch review
Batch_A,B,8,B08,sample,interior,80.8,60,95,QC analyst plate-batch review
Batch_A,B,9,B09,sample,interior,72.2,60,95,QC analyst plate-batch review
Batch_A,B,10,B10,sample,interior,70.6,60,95,QC analyst plate-batch review
Batch_A,B,11,B11,sample,interior,69.0,60,95,QC analyst plate-batch review
Batch_A,B,12,B12,control_low,edge,13.4,5,25,QC analyst plate-batch review
Batch_A,C,1,C01,control_low,edge,13.4,5,25,QC analyst plate-batch review
Batch_A,C,2,C02,sample,interior,76.8,60,95,QC analyst plate-batch review
Batch_A,C,3,C03,sample,interior,68.2,60,95,QC analyst plate-batch review
Batch_A,C,4,C04,sample,interior,78.6,60,95,QC analyst plate-batch review
Batch_A,C,5,C05,sample,interior,77.0,60,95,QC analyst plate-batch review
Batch_A,C,6,C06,sample,interior,75.4,60,95,QC analyst plate-batch review
Batch_A,C,7,C07,sample,interior,73.8,60,95,QC analyst plate-batch review
Batch_A,C,8,C08,sample,interior,77.2,60,95,QC analyst plate-batch review
Batch_A,C,9,C09,sample,interior,75.6,60,95,QC analyst plate-batch review
Batch_A,C,10,C10,sample,interior,74.0,60,95,QC analyst plate-batch review
Batch_A,C,11,C11,sample,interior,72.4,60,95,QC analyst plate-batch review
Batch_A,C,12,C12,control_low,edge,14.8,5,25,QC analyst plate-batch review
Batch_A,D,1,D01,control_low,edge,14.8,5,25,QC analyst plate-batch review
Batch_A,D,2,D02,sample,interior,67.2,60,95,QC analyst plate-batch review
Batch_A,D,3,D03,sample,interior,65.6,60,95,QC analyst plate-batch review
Batch_A,D,4,D04,sample,interior,76.0,60,95,QC analyst plate-batch review
Batch_A,D,5,D05,sample,interior,74.4,60,95,QC analyst plate-batch review
Batch_A,D,6,D06,sample,interior,72.8,60,95,QC analyst plate-batch review
Batch_A,D,7,D07,sample,interior,64.2,60,95,QC analyst plate-batch review
Batch_A,D,8,D08,sample,interior,74.6,60,95,QC analyst plate-batch review
Batch_A,D,9,D09,sample,interior,73.0,60,95,QC analyst plate-batch review
Batch_A,D,10,D10,sample,interior,71.4,60,95,QC analyst plate-batch review
Batch_A,D,11,D11,sample,interior,69.8,60,95,QC analyst plate-batch review
Batch_A,D,12,D12,control_low,edge,9.2,5,25,QC analyst plate-batch review
Batch_A,E,1,E01,control_low,edge,9.2,5,25,QC analyst plate-batch review
Batch_A,E,2,E02,sample,interior,70.6,60,95,QC analyst plate-batch review
Batch_A,E,3,E03,sample,interior,69.0,60,95,QC analyst plate-batch review
Batch_A,E,4,E04,sample,interior,79.4,60,95,QC analyst plate-batch review
Batch_A,E,5,E05,sample,interior,77.8,60,95,QC analyst plate-batch review
Batch_A,E,6,E06,sample,interior,69.2,60,95,QC analyst plate-batch review
Batch_A,E,7,E07,sample,interior,67.6,60,95,QC analyst plate-batch review
Batch_A,E,8,E08,sample,interior,78.0,60,95,QC analyst plate-batch review
Batch_A,E,9,E09,sample,interior,76.4,60,95,QC analyst plate-batch review
Batch_A,E,10,E10,sample,interior,74.8,60,95,QC analyst plate-batch review
Batch_A,E,11,E11,sample,interior,66.2,60,95,QC analyst plate-batch review
Batch_A,E,12,E12,control_low,edge,10.6,5,25,QC analyst plate-batch review
Batch_A,F,1,F01,control_low,edge,10.6,5,25,QC analyst plate-batch review
Batch_A,F,2,F02,sample,interior,74.0,60,95,QC analyst plate-batch review
Batch_A,F,3,F03,sample,interior,72.4,60,95,QC analyst plate-batch review
Batch_A,F,4,F04,sample,interior,82.8,60,95,QC analyst plate-batch review
Batch_A,F,5,F05,sample,interior,74.2,60,95,QC analyst plate-batch review
Batch_A,F,6,F06,sample,interior,72.6,60,95,QC analyst plate-batch review
Batch_A,F,7,F07,sample,interior,71.0,60,95,QC analyst plate-batch review
Batch_A,F,8,F08,sample,interior,81.4,60,95,QC analyst plate-batch review
Batch_A,F,9,F09,sample,interior,79.8,60,95,QC analyst plate-batch review
Batch_A,F,10,F10,sample,interior,71.2,60,95,QC analyst plate-batch review
Batch_A,F,11,F11,sample,interior,69.6,60,95,QC analyst plate-batch review
Batch_A,F,12,F12,control_low,edge,12.0,5,25,QC analyst plate-batch review
Batch_A,G,1,G01,control_low,edge,12.0,5,25,QC analyst plate-batch review
Batch_A,G,2,G02,sample,interior,71.4,60,95,QC analyst plate-batch review
Batch_A,G,3,G03,sample,interior,69.8,60,95,QC analyst plate-batch review
Batch_A,G,4,G04,sample,interior,73.2,60,95,QC analyst plate-batch review
Batch_A,G,5,G05,sample,interior,71.6,60,95,QC analyst plate-batch review
Batch_A,G,6,G06,sample,interior,70.0,60,95,QC analyst plate-batch review
Batch_A,G,7,G07,sample,interior,68.4,60,95,QC analyst plate-batch review
Batch_A,G,8,G08,sample,interior,78.8,60,95,QC analyst plate-batch review
Batch_A,G,9,G09,sample,interior,70.2,60,95,QC analyst plate-batch review
Batch_A,G,10,G10,sample,interior,68.6,60,95,QC analyst plate-batch review
Batch_A,G,11,G11,sample,interior,67.0,60,95,QC analyst plate-batch review
Batch_A,G,12,G12,control_low,edge,13.4,5,25,QC analyst plate-batch review
Batch_A,H,1,H01,control_low,edge,13.4,5,25,QC analyst plate-batch review
Batch_A,H,2,H02,control_high,edge,96.8,85,105,QC analyst plate-batch review
Batch_A,H,3,H03,control_high,edge,91.2,85,105,QC analyst plate-batch review
Batch_A,H,4,H04,control_high,edge,92.6,85,105,QC analyst plate-batch review
Batch_A,H,5,H05,control_high,edge,94.0,85,105,QC analyst plate-batch review
Batch_A,H,6,H06,control_high,edge,95.4,85,105,QC analyst plate-batch review
Batch_A,H,7,H07,control_high,edge,96.8,85,105,QC analyst plate-batch review
Batch_A,H,8,H08,control_high,edge,91.2,85,105,QC analyst plate-batch review
Batch_A,H,9,H09,control_high,edge,92.6,85,105,QC analyst plate-batch review
Batch_A,H,10,H10,control_high,edge,94.0,85,105,QC analyst plate-batch review
Batch_A,H,11,H11,control_high,edge,95.4,85,105,QC analyst plate-batch review
Batch_A,H,12,H12,control_low,edge,14.8,5,25,QC analyst plate-batch review
Batch_B,A,1,A01,control_low,edge,13.6,5,25,QC analyst plate-batch review
Batch_B,A,2,A02,control_high,edge,90.0,85,105,QC analyst plate-batch review
Batch_B,A,3,A03,control_high,edge,91.4,85,105,QC analyst plate-batch review
Batch_B,A,4,A04,control_high,edge,92.8,85,105,QC analyst plate-batch review
Batch_B,A,5,A05,control_high,edge,87.2,85,105,QC analyst plate-batch review
Batch_B,A,6,A06,control_high,edge,88.6,85,105,QC analyst plate-batch review
Batch_B,A,7,A07,control_high,edge,90.0,85,105,QC analyst plate-batch review
Batch_B,A,8,A08,control_high,edge,91.4,85,105,QC analyst plate-batch review
Batch_B,A,9,A09,control_high,edge,92.8,85,105,QC analyst plate-batch review
Batch_B,A,10,A10,control_high,edge,87.2,85,105,QC analyst plate-batch review
Batch_B,A,11,A11,control_high,edge,88.6,85,105,QC analyst plate-batch review
Batch_B,A,12,A12,control_low,edge,15.0,5,25,QC analyst plate-batch review
Batch_B,B,1,B01,control_low,edge,15.0,5,25,QC analyst plate-batch review
Batch_B,B,2,B02,sample,interior,73.4,60,95,QC analyst plate-batch review
Batch_B,B,3,B03,sample,interior,71.8,60,95,QC analyst plate-batch review
Batch_B,B,4,B04,sample,interior,75.2,60,95,QC analyst plate-batch review
Batch_B,B,5,B05,sample,interior,73.6,60,95,QC analyst plate-batch review
Batch_B,B,6,B06,sample,interior,72.0,60,95,QC analyst plate-batch review
Batch_B,B,7,B07,sample,interior,70.4,60,95,QC analyst plate-batch review
Batch_B,B,8,B08,sample,interior,80.8,60,95,QC analyst plate-batch review
Batch_B,B,9,B09,sample,interior,72.2,60,95,QC analyst plate-batch review
Batch_B,B,10,B10,sample,interior,70.6,60,95,QC analyst plate-batch review
Batch_B,B,11,B11,sample,interior,69.0,60,95,QC analyst plate-batch review
Batch_B,B,12,B12,control_low,edge,16.4,5,25,QC analyst plate-batch review
Batch_B,C,1,C01,control_low,edge,16.4,5,25,QC analyst plate-batch review
Batch_B,C,2,C02,sample,interior,76.8,60,95,QC analyst plate-batch review
Batch_B,C,3,C03,sample,interior,68.2,60,95,QC analyst plate-batch review
Batch_B,C,4,C04,sample,interior,78.6,60,95,QC analyst plate-batch review
Batch_B,C,5,C05,sample,interior,77.0,60,95,QC analyst plate-batch review
Batch_B,C,6,C06,sample,interior,57.4,60,95,QC analyst plate-batch review
Batch_B,C,7,C07,sample,interior,73.8,60,95,QC analyst plate-batch review
Batch_B,C,8,C08,sample,interior,77.2,60,95,QC analyst plate-batch review
Batch_B,C,9,C09,sample,interior,75.6,60,95,QC analyst plate-batch review
Batch_B,C,10,C10,sample,interior,74.0,60,95,QC analyst plate-batch review
Batch_B,C,11,C11,sample,interior,72.4,60,95,QC analyst plate-batch review
Batch_B,C,12,C12,control_low,edge,17.8,5,25,QC analyst plate-batch review
Batch_B,D,1,D01,control_low,edge,17.8,5,25,QC analyst plate-batch review
Batch_B,D,2,D02,sample,interior,67.2,60,95,QC analyst plate-batch review
Batch_B,D,3,D03,sample,interior,65.6,60,95,QC analyst plate-batch review
Batch_B,D,4,D04,sample,interior,76.0,60,95,QC analyst plate-batch review
Batch_B,D,5,D05,sample,interior,74.4,60,95,QC analyst plate-batch review
Batch_B,D,6,D06,sample,interior,72.8,60,95,QC analyst plate-batch review
Batch_B,D,7,D07,sample,interior,64.2,60,95,QC analyst plate-batch review
Batch_B,D,8,D08,sample,interior,74.6,60,95,QC analyst plate-batch review
Batch_B,D,9,D09,sample,interior,73.0,60,95,QC analyst plate-batch review
Batch_B,D,10,D10,sample,interior,71.4,60,95,QC analyst plate-batch review
Batch_B,D,11,D11,sample,interior,69.8,60,95,QC analyst plate-batch review
Batch_B,D,12,D12,control_low,edge,12.2,5,25,QC analyst plate-batch review
Batch_B,E,1,E01,control_low,edge,12.2,5,25,QC analyst plate-batch review
Batch_B,E,2,E02,sample,interior,70.6,60,95,QC analyst plate-batch review
Batch_B,E,3,E03,sample,interior,69.0,60,95,QC analyst plate-batch review
Batch_B,E,4,E04,sample,interior,79.4,60,95,QC analyst plate-batch review
Batch_B,E,5,E05,sample,interior,77.8,60,95,QC analyst plate-batch review
Batch_B,E,6,E06,sample,interior,69.2,60,95,QC analyst plate-batch review
Batch_B,E,7,E07,sample,interior,67.6,60,95,QC analyst plate-batch review
Batch_B,E,8,E08,sample,interior,78.0,60,95,QC analyst plate-batch review
Batch_B,E,9,E09,sample,interior,76.4,60,95,QC analyst plate-batch review
Batch_B,E,10,E10,sample,interior,74.8,60,95,QC analyst plate-batch review
Batch_B,E,11,E11,sample,interior,66.2,60,95,QC analyst plate-batch review
Batch_B,E,12,E12,control_low,edge,13.6,5,25,QC analyst plate-batch review
Batch_B,F,1,F01,control_low,edge,13.6,5,25,QC analyst plate-batch review
Batch_B,F,2,F02,sample,interior,74.0,60,95,QC analyst plate-batch review
Batch_B,F,3,F03,sample,interior,72.4,60,95,QC analyst plate-batch review
Batch_B,F,4,F04,sample,interior,82.8,60,95,QC analyst plate-batch review
Batch_B,F,5,F05,sample,interior,74.2,60,95,QC analyst plate-batch review
Batch_B,F,6,F06,sample,interior,72.6,60,95,QC analyst plate-batch review
Batch_B,F,7,F07,sample,interior,71.0,60,95,QC analyst plate-batch review
Batch_B,F,8,F08,sample,interior,81.4,60,95,QC analyst plate-batch review
Batch_B,F,9,F09,sample,interior,61.8,60,95,QC analyst plate-batch review
Batch_B,F,10,F10,sample,interior,71.2,60,95,QC analyst plate-batch review
Batch_B,F,11,F11,sample,interior,69.6,60,95,QC analyst plate-batch review
Batch_B,F,12,F12,control_low,edge,15.0,5,25,QC analyst plate-batch review
Batch_B,G,1,G01,control_low,edge,15.0,5,25,QC analyst plate-batch review
Batch_B,G,2,G02,sample,interior,71.4,60,95,QC analyst plate-batch review
Batch_B,G,3,G03,sample,interior,69.8,60,95,QC analyst plate-batch review
Batch_B,G,4,G04,sample,interior,73.2,60,95,QC analyst plate-batch review
Batch_B,G,5,G05,sample,interior,71.6,60,95,QC analyst plate-batch review
Batch_B,G,6,G06,sample,interior,70.0,60,95,QC analyst plate-batch review
Batch_B,G,7,G07,sample,interior,68.4,60,95,QC analyst plate-batch review
Batch_B,G,8,G08,sample,interior,78.8,60,95,QC analyst plate-batch review
Batch_B,G,9,G09,sample,interior,70.2,60,95,QC analyst plate-batch review
Batch_B,G,10,G10,sample,interior,68.6,60,95,QC analyst plate-batch review
Batch_B,G,11,G11,sample,interior,67.0,60,95,QC analyst plate-batch review
Batch_B,G,12,G12,control_low,edge,16.4,5,25,QC analyst plate-batch review
Batch_B,H,1,H01,control_low,edge,16.4,5,25,QC analyst plate-batch review
Batch_B,H,2,H02,control_high,edge,92.8,85,105,QC analyst plate-batch review
Batch_B,H,3,H03,control_high,edge,87.2,85,105,QC analyst plate-batch review
Batch_B,H,4,H04,control_high,edge,88.6,85,105,QC analyst plate-batch review
Batch_B,H,5,H05,control_high,edge,90.0,85,105,QC analyst plate-batch review
Batch_B,H,6,H06,control_high,edge,91.4,85,105,QC analyst plate-batch review
Batch_B,H,7,H07,control_high,edge,92.8,85,105,QC analyst plate-batch review
Batch_B,H,8,H08,control_high,edge,87.2,85,105,QC analyst plate-batch review
Batch_B,H,9,H09,control_high,edge,88.6,85,105,QC analyst plate-batch review
Batch_B,H,10,H10,control_high,edge,90.0,85,105,QC analyst plate-batch review
Batch_B,H,11,H11,control_high,edge,91.4,85,105,QC analyst plate-batch review
Batch_B,H,12,H12,control_low,edge,17.8,5,25,QC analyst plate-batch review
