sample_id,drug_name,concentration_uM,replicate,cell_viability_percent
A001,CompoundX,0,1,100
A002,CompoundX,0,2,98
A003,CompoundX,0,3,101
A004,CompoundX,0.003,1,97
A005,CompoundX,0.003,2,95
A006,CompoundX,0.003,3,96
A007,CompoundX,0.01,1,91
A008,CompoundX,0.01,2,89
A009,CompoundX,0.01,3,90
A010,CompoundX,0.03,1,80
A011,CompoundX,0.03,2,78
A012,CompoundX,0.03,3,82
A013,CompoundX,0.1,1,62
A014,CompoundX,0.1,2,59
A015,CompoundX,0.1,3,61
A016,CompoundX,0.3,1,41
A017,CompoundX,0.3,2,39
A018,CompoundX,0.3,3,43
A019,CompoundX,1,1,26
A020,CompoundX,1,2,24
A021,CompoundX,1,3,27
A022,CompoundX,3,1,16
A023,CompoundX,3,2,15
A024,CompoundX,3,3,17
A025,CompoundY,0,1,100
A026,CompoundY,0,2,101
A027,CompoundY,0,3,99
A028,CompoundY,0.003,1,99
A029,CompoundY,0.003,2,97
A030,CompoundY,0.003,3,98
A031,CompoundY,0.01,1,96
A032,CompoundY,0.01,2,95
A033,CompoundY,0.01,3,97
A034,CompoundY,0.03,1,90
A035,CompoundY,0.03,2,88
A036,CompoundY,0.03,3,91
A037,CompoundY,0.1,1,75
A038,CompoundY,0.1,2,73
A039,CompoundY,0.1,3,76
A040,CompoundY,0.3,1,58
A041,CompoundY,0.3,2,55
A042,CompoundY,0.3,3,57
A043,CompoundY,1,1,39
A044,CompoundY,1,2,41
A045,CompoundY,1,3,38
A046,CompoundY,3,1,29
A047,CompoundY,3,2,30
A048,CompoundY,3,3,27
