sample_id,drug_name,concentration_uM,replicate,cell_viability_percent
CL001,DrugA,0,1,100
CL002,DrugA,0,2,99
CL003,DrugA,0,3,101
CL004,DrugA,0.01,1,93
CL005,DrugA,0.01,2,93
CL006,DrugA,0.01,3,97
CL007,DrugA,0.1,1,84
CL008,DrugA,0.1,2,86
CL009,DrugA,0.1,3,88
CL010,DrugA,1,1,60
CL011,DrugA,1,2,64
CL012,DrugA,1,3,61
CL013,DrugA,10,1,28
CL014,DrugA,10,2,28
CL015,DrugA,10,3,31
CL016,DrugB,0,1,101
CL017,DrugB,0,2,98
CL018,DrugB,0,3,99
CL019,DrugB,0.01,1,96
CL020,DrugB,0.01,2,100
CL021,DrugB,0.01,3,99
CL022,DrugB,0.1,1,89
CL023,DrugB,0.1,2,93
CL024,DrugB,0.1,3,89
CL025,DrugB,1,1,73
CL026,DrugB,1,2,76
CL027,DrugB,1,3,72
CL028,DrugB,10,1,47
CL029,DrugB,10,2,47
CL030,DrugB,10,3,46
