sample_id,drug_name,concentration_uM,replicate,cell_viability_percent
DR_I001,CompoundX,0,1,100.0
DR_I002,CompoundX,0,2,99.1
DR_I003,CompoundX,0,3,101.2
DR_I004,CompoundX,0,4,98.7
DR_I005,CompoundX,0.003,1,96.8
DR_I006,CompoundX,0.003,2,95.9
DR_I007,CompoundX,0.003,3,97.4
DR_I008,CompoundX,0.003,4,96.2
DR_I009,CompoundX,0.03,1,83.5
DR_I010,CompoundX,0.03,2,81.9
DR_I011,CompoundX,0.03,3,84.7
DR_I012,CompoundX,0.03,4,82.8
DR_I013,CompoundX,0.3,1,50.4
DR_I014,CompoundX,0.3,2,48.9
DR_I015,CompoundX,0.3,3,52.1
DR_I016,CompoundX,0.3,4,49.7
DR_I017,CompoundX,3,1,22.8
DR_I018,CompoundX,3,2,24.0
DR_I019,CompoundX,3,3,21.5
DR_I020,CompoundX,3,4,23.2
DR_I021,CompoundX,30,1,14.2
DR_I022,CompoundX,30,2,13.5
DR_I023,CompoundX,30,3,15.0
DR_I024,CompoundX,30,4,14.8
DR_I025,CompoundY,0,1,100.4
DR_I026,CompoundY,0,2,99.6
DR_I027,CompoundY,0,3,101.0
DR_I028,CompoundY,0,4,98.9
DR_I029,CompoundY,0.003,1,99.0
DR_I030,CompoundY,0.003,2,97.8
DR_I031,CompoundY,0.003,3,98.6
DR_I032,CompoundY,0.003,4,99.4
DR_I033,CompoundY,0.03,1,93.4
DR_I034,CompoundY,0.03,2,91.8
DR_I035,CompoundY,0.03,3,94.1
DR_I036,CompoundY,0.03,4,92.6
DR_I037,CompoundY,0.3,1,74.5
DR_I038,CompoundY,0.3,2,72.8
DR_I039,CompoundY,0.3,3,75.6
DR_I040,CompoundY,0.3,4,73.9
DR_I041,CompoundY,3,1,42.7
DR_I042,CompoundY,3,2,44.1
DR_I043,CompoundY,3,3,41.9
DR_I044,CompoundY,3,4,43.5
DR_I045,CompoundY,30,1,25.8
DR_I046,CompoundY,30,2,27.0
DR_I047,CompoundY,30,3,24.9
DR_I048,CompoundY,30,4,26.2
