sample_id,drug_name,concentration_uM,replicate,cell_viability_percent
MI001,DrugA,0,1,100
MI002,DrugA,0,2,99
MI003,DrugA,0,3,101
MI004,DrugA,0.01,1,93
MI005,DrugA,0.01,2,93
MI006,DrugA,0.01,3,97
MI007,DrugA,0.1,1,84
MI008,DrugA,0.1,2,86
MI009,DrugA,0.1,3,88
MI010,DrugA,1,1,60
MI011,DrugA,1,2,64
MI013,DrugA,10,1,28
MI014,DrugA,10,2,28
MI015,DrugA,10,3,31
MI016,DrugB,0,1,101
MI017,DrugB,0,2,98
MI018,DrugB,0,3,99
MI019,DrugB,0.01,1,96
MI020,DrugB,0.01,2,100
MI021,DrugB,0.01,3,99
MI022,DrugB,0.1,1,89
MI023,DrugB,0.1,2,93
MI024,DrugB,0.1,3,89
MI025,DrugB,1,1,73
MI026,DrugB,1,2,76
MI027,DrugB,1,3,72
MI028,DrugB,10,1,47
MI030,DrugB,10,3,46
