sample_id,drug_name,concentration_uM,replicate,cell_viability_percent
DR_N001,CompoundA,0,1,103.8
DR_N002,CompoundA,0,2,96.2
DR_N003,CompoundA,0,3,100.5
DR_N004,CompoundA,0.01,1,91.4
DR_N005,CompoundA,0.01,2,99.8
DR_N006,CompoundA,0.01,3,88.9
DR_N007,CompoundA,0.1,1,83.5
DR_N008,CompoundA,0.1,2,73.9
DR_N009,CompoundA,0.1,3,88.1
DR_N010,CompoundA,1,1,46.2
DR_N011,CompoundA,1,2,60.5
DR_N012,CompoundA,1,3,52.8
DR_N013,CompoundA,10,1,29.4
DR_N014,CompoundA,10,2,18.6
DR_N015,CompoundA,10,3,34.2
DR_N016,CompoundB,0,1,98.4
DR_N017,CompoundB,0,2,104.7
DR_N018,CompoundB,0,3,95.9
DR_N019,CompoundB,0.01,1,94.6
DR_N020,CompoundB,0.01,2,101.5
DR_N021,CompoundB,0.01,3,97.2
DR_N022,CompoundB,0.1,1,85.3
DR_N023,CompoundB,0.1,2,94.8
DR_N024,CompoundB,0.1,3,89.1
DR_N025,CompoundB,1,1,68.7
DR_N026,CompoundB,1,2,78.9
DR_N027,CompoundB,1,3,71.5
DR_N028,CompoundB,10,1,43.8
DR_N029,CompoundB,10,2,55.6
DR_N030,CompoundB,10,3,47.2
