sample_id,drug_name,concentration_uM,replicate,cell_viability_percent
OU001,DrugA,0,1,100
OU002,DrugA,0,2,99
OU003,DrugA,0,3,101
OU004,DrugA,0.01,1,93
OU005,DrugA,0.01,2,93
OU006,DrugA,0.01,3,97
OU007,DrugA,0.1,1,84
OU008,DrugA,0.1,2,132
OU009,DrugA,0.1,3,88
OU010,DrugA,1,1,60
OU011,DrugA,1,2,64
OU012,DrugA,1,3,61
OU013,DrugA,10,1,28
OU014,DrugA,10,2,28
OU015,DrugA,10,3,31
OU016,DrugB,0,1,101
OU017,DrugB,0,2,98
OU018,DrugB,0,3,99
OU019,DrugB,0.01,1,96
OU020,DrugB,0.01,2,100
OU021,DrugB,0.01,3,99
OU022,DrugB,0.1,1,89
OU023,DrugB,0.1,2,93
OU024,DrugB,0.1,3,89
OU025,DrugB,1,1,73
OU026,DrugB,1,2,76
OU027,DrugB,1,3,72
OU028,DrugB,10,1,47
OU029,DrugB,10,2,47
OU030,DrugB,10,3,5
