sample_id,drug_name,concentration_uM,replicate,cell_viability_percent
TH001,DrugA,0,1,100
TH002,DrugA,0,2,99
TH003,DrugA,0,3,101
TH004,DrugA,0.01,1,94
TH005,DrugA,0.01,2,94
TH006,DrugA,0.01,3,98
TH007,DrugA,0.1,1,86
TH008,DrugA,0.1,2,88
TH009,DrugA,0.1,3,90
TH010,DrugA,1,1,58
TH011,DrugA,1,2,62
TH012,DrugA,1,3,59
TH013,DrugA,10,1,26
TH014,DrugA,10,2,26
TH015,DrugA,10,3,29
TH016,DrugB,0,1,101
TH017,DrugB,0,2,98
TH018,DrugB,0,3,99
TH019,DrugB,0.01,1,96
TH020,DrugB,0.01,2,100
TH021,DrugB,0.01,3,99
TH022,DrugB,0.1,1,89
TH023,DrugB,0.1,2,93
TH024,DrugB,0.1,3,89
TH025,DrugB,1,1,73
TH026,DrugB,1,2,76
TH027,DrugB,1,3,72
TH028,DrugB,10,1,47
TH029,DrugB,10,2,47
TH030,DrugB,10,3,46
TH031,DrugC,0,1,98
TH032,DrugC,0,2,99
TH033,DrugC,0,3,98
TH034,DrugC,0.01,1,94
TH035,DrugC,0.01,2,91
TH036,DrugC,0.01,3,92
TH037,DrugC,0.1,1,71
TH038,DrugC,0.1,2,69
TH039,DrugC,0.1,3,72
TH040,DrugC,1,1,36
TH041,DrugC,1,2,40
TH042,DrugC,1,3,38
TH043,DrugC,10,1,22
TH044,DrugC,10,2,19
TH045,DrugC,10,3,18
