sample_id,drug_name,concentration_uM,replicate,cell_viability_percent
WE001,DrugA,0,1,100
WE002,DrugA,0,2,99
WE003,DrugA,0,3,101
WE004,DrugA,0.01,1,97
WE005,DrugA,0.01,2,97
WE006,DrugA,0.01,3,101
WE007,DrugA,0.1,1,95
WE008,DrugA,0.1,2,97
WE009,DrugA,0.1,3,99
WE010,DrugA,1,1,91
WE011,DrugA,1,2,95
WE012,DrugA,1,3,92
WE013,DrugA,10,1,85
WE014,DrugA,10,2,85
WE015,DrugA,10,3,88
WE016,DrugB,0,1,101
WE017,DrugB,0,2,98
WE018,DrugB,0,3,99
WE019,DrugB,0.01,1,97
WE020,DrugB,0.01,2,101
WE021,DrugB,0.01,3,100
WE022,DrugB,0.1,1,96
WE023,DrugB,0.1,2,100
WE024,DrugB,0.1,3,96
WE025,DrugB,1,1,94
WE026,DrugB,1,2,97
WE027,DrugB,1,3,93
WE028,DrugB,10,1,92
WE029,DrugB,10,2,92
WE030,DrugB,10,3,91
