sample_id,substrate_mM,replicate,initial_velocity
MM_C001,0.05,1,0.42
MM_C002,0.05,2,0.45
MM_C003,0.05,3,0.43
MM_C004,0.10,1,0.78
MM_C005,0.10,2,0.81
MM_C006,0.10,3,0.79
MM_C007,0.25,1,1.55
MM_C008,0.25,2,1.60
MM_C009,0.25,3,1.57
MM_C010,0.50,1,2.40
MM_C011,0.50,2,2.46
MM_C012,0.50,3,2.43
MM_C013,1.00,1,3.28
MM_C014,1.00,2,3.35
MM_C015,1.00,3,3.31
MM_C016,2.00,1,4.10
MM_C017,2.00,2,4.18
MM_C018,2.00,3,4.14
MM_C019,5.00,1,4.78
MM_C020,5.00,2,4.86
MM_C021,5.00,3,4.82
MM_C022,10.00,1,5.05
MM_C023,10.00,2,5.12
MM_C024,10.00,3,5.08
