sample_id,substrate_mM,replicate,initial_velocity
MM_N001,0.05,1,0.34
MM_N002,0.05,2,0.51
MM_N003,0.05,3,0.40
MM_N004,0.10,1,0.68
MM_N005,0.10,2,0.93
MM_N006,0.10,3,0.76
MM_N007,0.25,1,1.35
MM_N008,0.25,2,1.78
MM_N009,0.25,3,1.50
MM_N010,0.50,1,2.18
MM_N011,0.50,2,2.71
MM_N012,0.50,3,2.32
MM_N013,1.00,1,2.95
MM_N014,1.00,2,3.62
MM_N015,1.00,3,3.20
MM_N016,2.00,1,3.73
MM_N017,2.00,2,4.48
MM_N018,2.00,3,4.01
MM_N019,5.00,1,4.31
MM_N020,5.00,2,5.22
MM_N021,5.00,3,4.75
MM_N022,10.00,1,4.65
MM_N023,10.00,2,5.46
MM_N024,10.00,3,4.98
