gene,control_1,control_2,control_3,treat_low_1,treat_low_2,treat_low_3,treat_high_1,treat_high_2,treat_high_3
EGFR,10.2,9.8,10.5,12.1,12.4,11.9,16.5,17.1,15.9
MYC,8.4,8.1,8.6,9.2,9.4,9.0,11.2,10.8,11.5
TP53,12.0,12.4,11.8,11.1,10.9,11.3,10.1,10.4,9.8
BAX,7.1,7.4,7.0,8.0,8.3,7.8,9.2,9.5,8.9
CDK2,9.6,9.9,9.4,8.9,8.7,9.0,8.0,8.3,7.8
VEGFA,6.8,7.0,6.6,7.6,7.9,7.4,8.7,9.0,8.4
HIF1A,7.9,8.2,7.7,8.8,9.1,8.6,10.2,10.6,9.9
IL6,5.4,5.1,5.6,6.2,6.5,6.0,7.8,8.1,7.5
CASP3,8.7,8.9,8.5,9.1,9.4,8.8,10.4,10.8,10.1
MKI67,11.1,10.8,11.4,10.3,10.1,10.6,8.9,9.2,8.6
CCND1,10.5,10.2,10.7,9.8,9.5,10.0,8.6,8.9,8.3
SOD2,6.7,6.9,6.5,7.4,7.7,7.2,8.8,9.1,8.5
NQO1,7.3,7.1,7.5,8.4,8.6,8.2,10.1,10.5,9.8
GAPDH,18.1,18.0,18.3,18.2,18.1,18.0,18.2,17.9,18.1
ACTB,16.4,16.7,16.2,16.6,16.5,16.4,16.5,16.4,16.8
RPL13A,14.7,14.5,14.9,14.6,14.8,14.7,14.8,14.6,14.7
TUBB,13.2,13.5,13.1,13.3,13.4,13.2,13.4,13.3,13.6
HPRT1,12.8,12.6,12.9,12.7,12.8,12.6,12.9,12.7,12.8
