gene,control_1,control_2,control_3,treatment_1,treatment_2,treatment_3,gene_type
EGFR,10.2,9.8,10.5,16.5,17.1,15.9,target_related
MYC,8.4,8.1,8.6,11.2,10.8,11.5,target_related
TP53,12.0,12.4,11.8,10.1,10.4,9.8,target_related
BAX,7.1,7.4,7.0,9.2,9.5,8.9,target_related
CDK2,9.6,9.9,9.4,8.0,8.3,7.8,cell_cycle
VEGFA,6.8,7.0,6.6,8.7,9.0,8.4,stress_response
HIF1A,7.9,8.2,7.7,10.2,10.6,9.9,stress_response
IL6,5.4,5.1,5.6,7.8,8.1,7.5,inflammation
GAPDH,18.1,18.0,18.3,18.2,17.9,18.1,housekeeping
ACTB,16.4,16.7,16.2,16.5,16.4,16.8,housekeeping
RPL13A,14.7,14.5,14.9,14.8,14.6,14.7,housekeeping
TUBB,13.2,13.5,13.1,13.4,13.3,13.6,housekeeping
