gene,control_1,control_2,control_3,treat_low_1,treat_low_2,treat_low_3,treat_high_1,treat_high_2,treat_high_3
EGFR,10.2,9.8,10.5,12.1,12.4,11.9,16.5,17.1,15.9
TP53,8.1,8.4,8.0,9.5,9.8,9.4,12.2,11.8,12.5
MYC,15.0,14.8,15.3,17.5,17.8,17.2,21.4,22.1,20.9
GAPDH,30.2,30.1,29.8,30.4,30.2,30.1,30.5,30.0,30.3
ACTB,25.1,25.4,24.9,25.0,25.2,25.3,25.2,25.0,25.5
BCL2,6.2,6.5,6.1,4.9,5.0,4.8,3.1,3.3,2.9
CASP3,4.5,4.7,4.4,6.2,6.4,6.1,8.8,9.1,8.5
IL6,2.1,2.3,2.0,4.8,4.6,4.9,7.5,7.8,7.2
TNF,3.2,3.0,3.4,5.1,5.3,5.0,6.9,7.1,6.7
VEGFA,5.4,5.6,5.5,7.8,7.5,7.7,9.8,10.1,9.5
CDKN1A,4.8,5.0,4.7,6.9,7.1,6.8,9.2,9.5,8.9
MKI67,13.5,13.8,13.2,10.2,10.5,10.0,7.1,7.4,6.8
STAT3,7.2,7.5,7.1,9.0,9.2,8.8,11.2,11.5,10.9
AKT1,11.2,11.0,11.4,12.0,12.2,11.9,13.8,14.0,13.5
MAPK1,9.2,9.4,9.0,10.6,10.8,10.4,12.6,12.8,12.4
JUN,6.1,6.3,5.9,8.4,8.2,8.6,10.5,10.8,10.2
FOS,5.8,6.0,5.7,8.0,8.3,7.9,10.1,10.4,9.8
HIF1A,4.2,4.4,4.1,6.0,6.2,5.9,8.4,8.6,8.1
