sample_id,strain,condition,time_hr,replicate,od600
StrainA_1_0,StrainA,standard_media,0,1,0.083
StrainA_1_1,StrainA,standard_media,1,1,0.096
StrainA_1_2,StrainA,standard_media,2,1,0.159
StrainA_1_3,StrainA,standard_media,3,1,0.269
StrainA_1_4,StrainA,standard_media,4,1,0.459
StrainA_1_5,StrainA,standard_media,5,1,0.655
StrainA_1_6,StrainA,standard_media,6,1,0.871
StrainA_1_8,StrainA,standard_media,8,1,1.171
StrainA_1_10,StrainA,standard_media,10,1,1.247
StrainA_1_12,StrainA,standard_media,12,1,1.292
StrainA_2_0,StrainA,standard_media,0,2,0.108
StrainA_2_1,StrainA,standard_media,1,2,0.121
StrainA_2_2,StrainA,standard_media,2,2,0.184
StrainA_2_3,StrainA,standard_media,3,2,0.294
StrainA_2_4,StrainA,standard_media,4,2,0.484
StrainA_2_5,StrainA,standard_media,5,2,0.68
StrainA_2_6,StrainA,standard_media,6,2,0.896
StrainA_2_8,StrainA,standard_media,8,2,1.196
StrainA_2_10,StrainA,standard_media,10,2,1.272
StrainA_2_12,StrainA,standard_media,12,2,1.317
StrainA_3_0,StrainA,standard_media,0,3,0.133
StrainA_3_1,StrainA,standard_media,1,3,0.146
StrainA_3_2,StrainA,standard_media,2,3,0.209
StrainA_3_3,StrainA,standard_media,3,3,0.319
StrainA_3_4,StrainA,standard_media,4,3,0.509
StrainA_3_5,StrainA,standard_media,5,3,0.705
StrainA_3_6,StrainA,standard_media,6,3,0.921
StrainA_3_8,StrainA,standard_media,8,3,1.221
StrainA_3_10,StrainA,standard_media,10,3,1.297
StrainA_3_12,StrainA,standard_media,12,3,1.342
StrainB_1_0,StrainB,standard_media,0,1,0.113
StrainB_1_1,StrainB,standard_media,1,1,0.135
StrainB_1_2,StrainB,standard_media,2,1,0.199
StrainB_1_3,StrainB,standard_media,3,1,0.292
StrainB_1_4,StrainB,standard_media,4,1,0.434
StrainB_1_5,StrainB,standard_media,5,1,0.555
StrainB_1_6,StrainB,standard_media,6,1,0.696
StrainB_1_8,StrainB,standard_media,8,1,0.931
StrainB_1_10,StrainB,standard_media,10,1,1.017
StrainB_1_12,StrainB,standard_media,12,1,1.078
StrainB_2_0,StrainB,standard_media,0,2,0.138
StrainB_2_1,StrainB,standard_media,1,2,0.16
StrainB_2_2,StrainB,standard_media,2,2,0.224
StrainB_2_3,StrainB,standard_media,3,2,0.317
StrainB_2_4,StrainB,standard_media,4,2,0.459
StrainB_2_5,StrainB,standard_media,5,2,0.58
StrainB_2_6,StrainB,standard_media,6,2,0.721
StrainB_2_8,StrainB,standard_media,8,2,0.956
StrainB_2_10,StrainB,standard_media,10,2,1.042
StrainB_2_12,StrainB,standard_media,12,2,1.103
StrainB_3_0,StrainB,standard_media,0,3,0.163
StrainB_3_1,StrainB,standard_media,1,3,0.185
StrainB_3_2,StrainB,standard_media,2,3,0.249
StrainB_3_3,StrainB,standard_media,3,3,0.342
StrainB_3_4,StrainB,standard_media,4,3,0.484
StrainB_3_5,StrainB,standard_media,5,3,0.605
StrainB_3_6,StrainB,standard_media,6,3,0.746
StrainB_3_8,StrainB,standard_media,8,3,0.981
StrainB_3_10,StrainB,standard_media,10,3,1.067
StrainB_3_12,StrainB,standard_media,12,3,1.128
