sample_id,drug_name,concentration_uM,replicate,cell_viability_percent
Q001,DrugA,0,1,100
Q002,DrugA,0,2,98
Q003,DrugA,0,3,102
Q004,DrugA,0.1,1,87
Q005,DrugA,0.1,2,85
Q006,DrugA,0.1,3,130
Q007,DrugA,1,1,63
Q008,DrugA,1,2,60
Q009,DrugA,1,3,65
Q010,DrugA,10,1,30
Q011,DrugA,10,2,28
Q012,DrugA,10,3,33
Q013,DrugB,0,1,100
Q014,DrugB,0,2,101
Q015,DrugB,0,3,99
Q016,DrugB,0.1,1,92
Q017,DrugB,0.1,2,90
Q018,DrugB,0.1,3,91
Q019,DrugB,1,1,75
Q020,DrugB,1,2,72
Q021,DrugB,1,3,74
Q022,DrugB,10,1,45
Q023,DrugB,10,2,47
Q024,DrugB,10,3,5
