sample_id,condition,gene,replicate,ct_value
CTRL_1_GAPDH,control,GAPDH,1,18.2
CTRL_2_GAPDH,control,GAPDH,2,18.1
CTRL_3_GAPDH,control,GAPDH,3,18.3
TRT_1_GAPDH,treatment,GAPDH,1,18.4
TRT_2_GAPDH,treatment,GAPDH,2,18.2
TRT_3_GAPDH,treatment,GAPDH,3,18.3
CTRL_1_EGFR,control,EGFR,1,24.8
CTRL_2_EGFR,control,EGFR,2,25.1
CTRL_3_EGFR,control,EGFR,3,24.9
TRT_1_EGFR,treatment,EGFR,1,22.5
TRT_2_EGFR,treatment,EGFR,2,22.8
TRT_3_EGFR,treatment,EGFR,3,22.6
CTRL_1_MYC,control,MYC,1,26.2
CTRL_2_MYC,control,MYC,2,26.0
CTRL_3_MYC,control,MYC,3,26.3
TRT_1_MYC,treatment,MYC,1,24.9
TRT_2_MYC,treatment,MYC,2,25.0
TRT_3_MYC,treatment,MYC,3,24.7
CTRL_1_TP53,control,TP53,1,23.5
CTRL_2_TP53,control,TP53,2,23.7
CTRL_3_TP53,control,TP53,3,23.6
TRT_1_TP53,treatment,TP53,1,24.6
TRT_2_TP53,treatment,TP53,2,24.4
TRT_3_TP53,treatment,TP53,3,24.7
