sample_id,sample_type,known_concentration_mg_ml,replicate,absorbance_595
STD_000_R1,standard,0.00,1,0.048
STD_000_R2,standard,0.00,2,0.052
STD_000_R3,standard,0.00,3,0.050
STD_0125_R1,standard,0.125,1,0.137
STD_0125_R2,standard,0.125,2,0.142
STD_0125_R3,standard,0.125,3,0.139
STD_025_R1,standard,0.25,1,0.227
STD_025_R2,standard,0.25,2,0.235
STD_025_R3,standard,0.25,3,0.231
STD_050_R1,standard,0.50,1,0.408
STD_050_R2,standard,0.50,2,0.416
STD_050_R3,standard,0.50,3,0.411
STD_075_R1,standard,0.75,1,0.584
STD_075_R2,standard,0.75,2,0.592
STD_075_R3,standard,0.75,3,0.588
STD_100_R1,standard,1.00,1,0.758
STD_100_R2,standard,1.00,2,0.771
STD_100_R3,standard,1.00,3,0.764
STD_125_R1,standard,1.25,1,0.932
STD_125_R2,standard,1.25,2,0.945
STD_125_R3,standard,1.25,3,0.938
STD_150_R1,standard,1.50,1,1.102
STD_150_R2,standard,1.50,2,1.118
STD_150_R3,standard,1.50,3,1.111
UNK_A_R1,unknown,,1,0.365
UNK_A_R2,unknown,,2,0.372
UNK_A_R3,unknown,,3,0.369
UNK_B_R1,unknown,,1,0.688
UNK_B_R2,unknown,,2,0.701
UNK_B_R3,unknown,,3,0.694
UNK_C_R1,unknown,,1,1.206
UNK_C_R2,unknown,,2,1.222
UNK_C_R3,unknown,,3,1.214
